""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
PTCHD3P1	-0.10216335208252	0.00176173475837053	0.155783914944642	0.153813322115196	0.165466992671947	0.0803264868584099	-0.100668806035283	-0.136527962675686
PTCHD4	-0.126672698974357	-0.0713954941266113	0.0382281130273812	0.152201416690784	0.142734307181356	0.0365683100411716	-0.0432044095053595	-0.123411220636645
PTCRA	0.0819116235118736	-0.0754501394999482	-0.108590725846115	-0.121703997442658	-0.120711185023368	-0.0174628856632477	-0.082208540566893	0.126508038916135
PTCSC3	-0.116078936324165	-0.032871623267808	0.0622576479387526	0.152803260594003	0.14931795845615	0.0534809885213672	-0.02990175486675	-0.128229323418915
PTDSS1	0.0326671448351101	0.11276368046469	0.0971498844862102	0.00877952824473044	0.0201824187244794	-0.0259576757525212	0.0239264452015145	-0.0179731298451291
PTDSS2	0.0214968332368526	0.106649245964129	0.0799519505414606	0.0153474180274468	0.0175144780679813	0.0255046081638729	0.0888713773344978	-0.0103679802336578
PTEN	0.0705239162540828	-0.00904217256329346	-0.0286654206441009	-0.0596326036540691	-0.0353861287346867	0.0363102299285192	-0.0365573855009794	0.0521196043678156
PTENP1	-0.036785106729494	0.0446080078729996	0.0558900368895015	0.0642955313036395	0.0611254018652979	0.0265152449958876	0.00709681587363666	-0.0622581258461026
PTER	0.0927654858089646	-0.11234290068985	-0.136257910621548	-0.141671988059284	-0.144797186899863	-0.0247636404075089	-0.112931895256328	0.15284360756684
PTF1A	-0.0114389596099299	-0.00298002827864871	0.00655499129707293	0.00630046275145489	0.00944835739098667	0.000460753253248238	-0.0188090720560323	-0.00969913191318778
PTGDR	-0.00468523562964537	-0.0822167121402014	-0.0888142376683961	-0.0674004818005286	-0.065098033111222	-0.0260684448305025	-0.0529102718132045	0.0602191775711735
PTGDR2	-0.00888277273945879	-0.0280034348704873	-0.00564456992605343	0.00208199263401958	0.0064694386334367	-0.000910877200781531	-0.0414671622311889	-0.0188148777166176
PTGDS	0.0344511106993808	0.00448468085527916	0.163699676532483	-0.0436166758201319	-0.0118996109161983	0.206357635701121	-0.0360180191536374	0.0204413556212084
